Lina Haddad,5/12/2023,24,Ramallah City,Ramallah and Al-Bireh,F
Omar Khalil,5/12/2023,31,Ramallah City,Ramallah and Al-Bireh,M
Maya Nasser,6/18/2023,19,Al-Bireh,Ramallah and Al-Bireh,F
Yousef Saleh,7/4/2023,42,Nablus City,Nablus,M
Rana Mansour,7/4/2023,28,Nablus City,Nablus,F
Adam Darwish,8/21/2023,17,Beit Furik,Nablus,M
Nour Hamdan,9/10/2023,35,Jenin City,Jenin,F
Sami Awad,10/2/2023,46,Qabatiya,Jenin,M
Dana Shalabi,10/15/2023,22,Tulkarm City,Tulkarm,F
Kareem Zaid,11/6/2023,39,Hebron City,Hebron,M
Salma Qasem,11/6/2023,27,Hebron City,Hebron,F
Tareq Barakat,12/1/2023,33,Bethlehem City,Bethlehem,M
